source_file,area_bucket,method,overall_price_per_m2,total_lump,is_lump_template,price_date,canonical_name,raw_name,spec,unit,qty,mat_unit_price,mat_amount,labor_unit_price,labor_amount,exp_unit_price,exp_amount,total_unit_price,total_amount
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,바탕정리,바탕정리,,m2,100.0,300.0,30000.0,700.0,70000.0,0,0,1000.0,100000.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,바탕조정제부분미장,"바탕조정제
부분미장",,식,1.0,0,0,0,0,0,0,0.0,0.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,하도프라이머,하도 프라이머,,m2,100.0,700.0,70000.0,1300.0,130000.0,0,0,2000.0,200000.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,복합시트,복합 시트,2.3mm,m2,100.0,8800.0,880000.0,5000.0,500000.0,300.0,30000.0,14100.0,1410000.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,쪼인트실란트보강포부착,"쪼인트 실란트 
보강포 부착",,m2,100.0,1100.0,110000.0,1200.0,120000.0,0,0,2300.0,230000.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,노출우레탄,노출 우레탄,중도 1.5mm(2회),m2,100.0,4800.0,480000.0,4000.0,400000.0,300.0,30000.0,9100.0,910000.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,벽체우레탄,벽체 우레탄,중도 1mm(2회),m2,0,4500.0,0.0,4500.0,0.0,500.0,0.0,9500.0,0.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,우레탄상도,우레탄 상도,탑코팅,m2,100.0,2000.0,200000.0,1500.0,150000.0,0,0,3500.0,350000.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,사다리차,사다리차,,일,1.0,0,0,0,0,0,120000.0,120000.0,120000.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,폐기물처리,폐기물 처리,,식,1.0,0,0,0,0,0,0,0.0,0.0
"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx",100~200,복합,32000,0,False,202504,드라이비트절개,드라이비트 절개,,식,1.0,0,0,0,0,0,0,0.0,0.0
"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx",100~200,복합,33000,0,False,202504,바탕정리,바탕정리,,m2,100.0,300.0,30000.0,700.0,70000.0,0,0,1000.0,100000.0
"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx",100~200,복합,33000,0,False,202504,바탕조정제부분미장,"바탕조정제
부분미장",,식,1.0,0,0,0,0,0,0,0.0,0.0
"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx",100~200,복합,33000,0,False,202504,하도프라이머,하도 프라이머,,m2,100.0,700.0,70000.0,1300.0,130000.0,0,0,2000.0,200000.0
